"#Barcode","Correct","Corrected","Total","Percentage(%)"
"barcode435301ABE103GEX",53900521,793297,54693818,"2.71%"
"barcode435302ABE104GEX",44329831,2088394,46418225,"2.30%"
"barcode435303ABE105GEX",52283802,917405,53201207,"2.64%"
"barcode435304ABE106GEX",52824715,2225853,55050568,"2.73%"
"barcode435305ABE107GEX",55088392,902867,55991259,"2.77%"
"barcode435306ABE108GEX",56063939,1211685,57275624,"2.84%"
"barcode435307ABE109GEX",47970782,1042598,49013380,"2.43%"
"barcode435308ABE110GEX",57624649,1024185,58648834,"2.91%"
"barcode435309ABE111GEX",52198221,857022,53055243,"2.63%"
"barcode435310ABE112GEX",62559039,1100614,63659653,"3.15%"
"barcode435311ABE113GEX",52077917,1083143,53161060,"2.63%"
"barcode435312ABE114GEX",41589612,875845,42465457,"2.10%"
"barcode435313ABE115GEX",56232075,1529578,57761653,"2.86%"
"barcode435314ABE116GEX",52064256,822986,52887242,"2.62%"
"barcode435315ABE117GEX",53329093,1155371,54484464,"2.70%"
"barcode435316ABE118GEX",68390401,1324057,69714458,"3.45%"
"barcode435317ABE119GEX",56207793,918846,57126639,"2.83%"
"barcode435318ABE120GEX",51010450,759360,51769810,"2.56%"
"barcode435319ABE103TCR",6380809,244279,6625088,"0.33%"
"barcode435320ABE104TCR",7214026,314253,7528279,"0.37%"
"barcode435321ABE105TCR",7252017,144412,7396429,"0.37%"
"barcode435322ABE106TCR",7088930,196887,7285817,"0.36%"
"barcode435323ABE107TCR",8348287,189537,8537824,"0.42%"
"barcode435324ABE108TCR",7177925,260557,7438482,"0.37%"
"barcode435325ABE109TCR",6700602,92312,6792914,"0.34%"
"barcode435326ABE110TCR",7554611,132684,7687295,"0.38%"
"barcode435327ABE111TCR",7263809,132942,7396751,"0.37%"
"barcode435328ABE112TCR",7043352,151529,7194881,"0.36%"
"barcode435329ABE113TCR",5787324,103571,5890895,"0.29%"
"barcode435330ABE114TCR",6095634,131820,6227454,"0.31%"
"barcode435331ABE115TCR",7401971,395999,7797970,"0.39%"
"barcode435332ABE116TCR",6875199,183326,7058525,"0.35%"
"barcode435333ABE117TCR",7324630,350547,7675177,"0.38%"
"barcode435334ABE118TCR",6483124,129798,6612922,"0.33%"
"barcode435335ABE119TCR",7622482,217171,7839653,"0.39%"
"barcode435336ABE120TCR",7214054,609096,7823150,"0.39%"
"barcode435337ABE103ADT",5448334,329008,5777342,"0.29%"
"barcode435338ABE104ADT",5544417,272399,5816816,"0.29%"
"barcode435339ABE105ADT",4699095,290955,4990050,"0.25%"
"barcode435340ABE106ADT",5492010,317587,5809597,"0.29%"
"barcode435341ABE107ADT",4422570,336386,4758956,"0.24%"
"barcode435342ABE108ADT",4309160,230283,4539443,"0.22%"
"barcode435343ABE109ADT",4390505,247068,4637573,"0.23%"
"barcode435344ABE110ADT",4874289,299789,5174078,"0.26%"
"barcode435345ABE111ADT",4838301,240584,5078885,"0.25%"
"barcode435346ABE112ADT",4828629,232342,5060971,"0.25%"
"barcode435347ABE113ADT",4066199,296734,4362933,"0.22%"
"barcode435348ABE114ADT",4405556,327764,4733320,"0.23%"
"barcode435349ABE115ADT",4588751,315303,4904054,"0.24%"
"barcode435350ABE116ADT",4980515,293258,5273773,"0.26%"
