"#Barcode","Correct","Corrected","Total","Percentage(%)"
"4353_01_ABE103_GEX_SI-TT-C10",53900521,1437425,55337946,"2.72%"
"4353_02_ABE104_GEX_SI-TT-D10",44329831,2316269,46646100,"2.29%"
"4353_03_ABE105_GEX_SI-TT-E10",52283802,1464856,53748658,"2.64%"
"4353_04_ABE106_GEX_SI-TT-F10",52824715,2633387,55458102,"2.72%"
"4353_05_ABE107_GEX_SI-TT-G10",55088392,1435237,56523629,"2.77%"
"4353_06_ABE108_GEX_SI-TT-H10",56063939,1613368,57677307,"2.83%"
"4353_07_ABE109_GEX_SI-TT-A11",47970782,1345080,49315862,"2.42%"
"4353_08_ABE110_GEX_SI-TT-B11",57624649,1729666,59354315,"2.91%"
"4353_09_ABE111_GEX_SI-TT-C11",52198221,1194336,53392557,"2.62%"
"4353_10_ABE112_GEX_SI-TT-D11",62559039,1663118,64222157,"3.15%"
"4353_11_ABE113_GEX_SI-TT-E11",52077917,1766117,53844034,"2.64%"
"4353_12_ABE114_GEX_SI-TT-F11",41589612,1217263,42806875,"2.10%"
"4353_13_ABE115_GEX_SI-TT-G11",56232075,1975446,58207521,"2.86%"
"4353_14_ABE116_GEX_SI-TT-H11",52064256,1405208,53469464,"2.62%"
"4353_15_ABE117_GEX_SI-TT-A12",53329093,1552002,54881095,"2.69%"
"4353_16_ABE118_GEX_SI-TT-B12",68390401,1773802,70164203,"3.44%"
"4353_17_ABE119_GEX_SI-TT-C12",56207793,1393501,57601294,"2.83%"
"4353_18_ABE120_GEX_SI-TT-D12",51010450,1053220,52063670,"2.56%"
"4353_19_ABE103_TCR_SI-TT-E12",6380809,206002,6586811,"0.32%"
"4353_20_ABE104_TCR_SI-TT-F12",7214026,370264,7584290,"0.37%"
"4353_21_ABE105_TCR_SI-TT-G12",7252017,190339,7442356,"0.37%"
"4353_22_ABE106_TCR_SI-TT-H12",7088930,229360,7318290,"0.36%"
"4353_23_ABE107_TCR_SI-TT-E2",8348287,252148,8600435,"0.42%"
"4353_24_ABE108_TCR_SI-TT-F2",7177925,309224,7487149,"0.37%"
"4353_25_ABE109_TCR_SI-TT-G2",6700602,148138,6848740,"0.34%"
"4353_26_ABE110_TCR_SI-TT-H2",7554611,172253,7726864,"0.38%"
"4353_27_ABE111_TCR_SI-TT-A3",7263809,176700,7440509,"0.37%"
"4353_28_ABE112_TCR_SI-TT-B3",7043352,216338,7259690,"0.36%"
"4353_29_ABE113_TCR_SI-TT-C3",5787324,141886,5929210,"0.29%"
"4353_30_ABE114_TCR_SI-TT-D3",6095634,177732,6273366,"0.31%"
"4353_31_ABE115_TCR_SI-TT-E3",7401971,460422,7862393,"0.39%"
"4353_32_ABE116_TCR_SI-TT-F3",6875199,264914,7140113,"0.35%"
"4353_33_ABE117_TCR_SI-TT-G3",7324630,394106,7718736,"0.38%"
"4353_34_ABE118_TCR_SI-TT-H3",6483124,172682,6655806,"0.33%"
"4353_35_ABE119_TCR_SI-TT-A4",7622482,294499,7916981,"0.39%"
"4353_36_ABE120_TCR_SI-TT-B4",7214054,643162,7857216,"0.39%"
"4353_37_ABE103_ADT_SI-TN-E2",5448334,503652,5951986,"0.29%"
"4353_38_ABE104_ADT_SI-TN-F2",5544417,421306,5965723,"0.29%"
"4353_39_ABE105_ADT_SI-TN-G2",4699095,430727,5129822,"0.25%"
"4353_40_ABE106_ADT_SI-TN-H2",5492010,483399,5975409,"0.29%"
"4353_41_ABE107_ADT_SI-TN-A3",4422570,492639,4915209,"0.24%"
"4353_42_ABE108_ADT_SI-TN-B3",4309160,371226,4680386,"0.23%"
"4353_43_ABE109_ADT_SI-TN-C3",4390505,364507,4755012,"0.23%"
"4353_44_ABE110_ADT_SI-TN-D3",4874289,454867,5329156,"0.26%"
"4353_45_ABE111_ADT_SI-TN-E3",4838301,371035,5209336,"0.26%"
"4353_46_ABE112_ADT_SI-TN-F3",4828629,355500,5184129,"0.25%"
"4353_47_ABE113_ADT_SI-TN-G3",4066199,436077,4502276,"0.22%"
"4353_48_ABE114_ADT_SI-TN-H3",4405556,465174,4870730,"0.24%"
"4353_49_ABE115_ADT_SI-TN-A4",4588751,460147,5048898,"0.25%"
"4353_50_ABE116_ADT_SI-TN-B4",4980515,469642,5450157,"0.27%"
"4353_51_ABE117_ADT_SI-TN-C4",5378727,506334,5885061,"0.29%"
"4353_52_ABE118_ADT_SI-TN-D4",5414002,464549,5878551,"0.29%"
"4353_53_ABE119_ADT_SI-TN-E4",4102550,366758,4469308,"0.22%"
"4353_54_ABE120_ADT_SI-TN-F4",5587647,530637,6118284,"0.30%"
"4353_55_ABE121_GEX_SI-TT-C4",59313207,1512322,60825529,"2.99%"
"4353_56_ABE122_GEX_SI-TT-D4",50665090,1193257,51858347,"2.55%"
"4353_57_ABE123_GEX_SI-TT-E4",46917076,1211003,48128079,"2.36%"
"4353_58_ABE124_GEX_SI-TT-F4",50894184,1365542,52259726,"2.57%"
"4353_59_ABE125_GEX_SI-TT-G4",50825372,1381644,52207016,"2.56%"
"4353_60_ABE126_GEX_SI-TT-C7",52566826,1058542,53625368,"2.63%"
"4353_61_ABE127_GEX_SI-TT-A5",64397906,1748695,66146601,"3.25%"
"4353_62_ABE128_GEX_SI-TT-B5",50626231,1658140,52284371,"2.57%"
"4353_63_ABE129_GEX_SI-TT-C5",53780417,1515515,55295932,"2.71%"
"4353_64_ABE130_GEX_SI-TT-D5",56155054,1468829,57623883,"2.83%"
"4353_65_ABE131_GEX_SI-TT-E5",47299375,760751,48060126,"2.36%"
"4353_66_ABE132_GEX_SI-TT-D7",56306965,1426632,57733597,"2.83%"
"4353_67_ABE121_TCR_SI-TT-G5",7788953,255586,8044539,"0.39%"
"4353_68_ABE122_TCR_SI-TT-H5",8042523,216258,8258781,"0.41%"
"4353_69_ABE123_TCR_SI-TT-A6",7446748,164004,7610752,"0.37%"
"4353_70_ABE124_TCR_SI-TT-B6",7492830,203978,7696808,"0.38%"
"4353_71_ABE125_TCR_SI-TT-C6",7818429,266733,8085162,"0.40%"
"4353_72_ABE126_TCR_SI-TT-D6",7394585,301603,7696188,"0.38%"
"4353_73_ABE127_TCR_SI-TT-E6",8134475,213675,8348150,"0.41%"
"4353_74_ABE128_TCR_SI-TT-F6",7141081,195926,7337007,"0.36%"
"4353_75_ABE129_TCR_SI-TT-G6",7624479,219355,7843834,"0.38%"
"4353_76_ABE130_TCR_SI-TT-H6",7182505,195498,7378003,"0.36%"
"4353_77_ABE131_TCR_SI-TT-A7",6784570,238461,7023031,"0.34%"
"4353_78_ABE132_TCR_SI-TT-B7",6296455,215141,6511596,"0.32%"
"4353_79_ABE121_ADT_SI-TN-G4",4015837,383058,4398895,"0.22%"
"4353_80_ABE122_ADT_SI-TN-H4",4562020,532784,5094804,"0.25%"
"4353_81_ABE123_ADT_SI-TN-A5",4120182,358229,4478411,"0.22%"
"4353_82_ABE124_ADT_SI-TN-B5",4680179,398676,5078855,"0.25%"
"4353_83_ABE125_ADT_SI-TN-C5",5008119,518850,5526969,"0.27%"
"4353_84_ABE126_ADT_SI-TN-D5",3824744,357954,4182698,"0.21%"
"4353_85_ABE127_ADT_SI-TN-E5",4306052,402177,4708229,"0.23%"
"4353_86_ABE128_ADT_SI-TN-F5",4455678,468189,4923867,"0.24%"
"4353_87_ABE129_ADT_SI-TN-G5",4363756,411409,4775165,"0.23%"
"4353_88_ABE130_ADT_SI-TN-H5",3987512,357049,4344561,"0.21%"
"4353_89_ABE131_ADT_SI-TN-A6",4102366,326443,4428809,"0.22%"
"4353_90_ABE132_ADT_SI-TN-B6",5014404,529756,5544160,"0.27%"
"4354_03_RUN2_VDJ_SI-TT-E1",7812377,188970,8001347,"0.39%"
"4354_04_RUN2_HTO_SI-TN-C1",2158475,186693,2345168,"0.12%"
